fecha,texto,emocion
2024-11-02,No soporto cuando me ignoraron en la reunión.,enojo
2024-09-29,Qué agradecido día para un tiempo con mi familia.,felicidad
2024-01-25,Estoy indignado porque no cumplieron su promesa.,enojo
2022-02-24,Hoy descubrí una caminata al aire libre y me siento entusiasmado.,felicidad
2023-12-14,No puedo confrontar a alguien sin sentir mareos.,ansiedad
2021-01-02,Estoy frustrado porque me criticaron sin razón.,enojo
2021-05-04,Mi pareja me hizo sentir irritado al tomar decisiones.,enojo
2023-11-21,Qué pleno día para una caminata al aire libre.,felicidad
2023-03-31,Entre el cuidado de los niños y las deudas no puedo concentrarme.,estrés
2020-11-08,Estoy resentido porque rompieron mis pertenencias.,enojo
2023-09-22,Disfruté un logro personal siempre me inspira.,felicidad
2023-10-27,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2021-04-20,Entre el trabajo y el proyecto final no puedo dormir bien.,estrés
2022-07-27,Entre los estudios y el proyecto final no puedo dormir bien.,estrés
2020-04-01,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2021-05-25,Un dolor sordo en el pecho cuando escucho esa canción.,tristeza
2020-07-03,El tráfico me tiene al límite.,estrés
2023-01-20,El jefe exigente me tiene al límite.,estrés
2023-01-07,Estoy exasperado porque no cumplieron su promesa.,enojo
2024-09-25,Hoy logré una conversación significativa y me siento optimista.,felicidad
2021-01-30,No soporto cuando rompieron mis pertenencias.,enojo
2022-08-17,Una opresión en el pecho cuando recuerdo lo sucedido.,tristeza
2023-06-23,El plazos ajustados me tiene al límite.,estrés
2020-12-05,El plazos ajustados me tiene al límite.,estrés
2022-07-13,No soporto cuando me ignoraron en la reunión.,enojo
2020-01-10,Entre los estudios y el proyecto final no puedo concentrarme.,estrés
2021-11-01,Entre el trabajo y el proyecto final no puedo dormir bien.,estrés
2022-06-13,No soporto cuando no cumplieron su promesa.,enojo
2022-06-01,Entre el trabajo y el proyecto final no puedo concentrarme.,estrés
2021-03-13,Hoy experimenté una conversación significativa y me siento eufórico.,felicidad
2021-12-22,Disfruté una conversación significativa siempre me llena de energía.,felicidad
2020-07-28,El ruido constante me tiene al límite.,estrés
2022-05-26,Necesito pedir ayuda pero no tengo tiempo.,estrés
2021-05-12,Tengo miedo de que fracase.,ansiedad
2023-04-10,No soporto cuando rompieron mis pertenencias.,enojo
2022-05-26,Tengo miedo de que todo salga mal...,ansiedad
2024-12-15,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2023-11-17,Hoy descubrí un logro personal y me siento optimista.,felicidad
2024-09-18,Entre los estudios y las deudas no puedo concentrarme.,estrés
2023-08-27,El jefe exigente me tiene al límite.,estrés
2023-05-01,Tengo miedo de que fracase.,ansiedad
2020-03-26,Estoy frustrado porque rompieron mis pertenencias.,enojo
2021-09-01,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2022-12-18,Logré una conversación significativa siempre me alegra.,felicidad
2021-01-02,El tráfico me tiene al límite.,estrés
2024-07-03,El tráfico me tiene al límite.,estrés
2021-04-22,Mi mente no deja de pensar en la situación económica.,ansiedad
2023-09-28,Experimenté un logro personal siempre me inspira.,felicidad
2020-01-27,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2023-11-16,Un vacío en el pecho cuando escucho esa canción.,tristeza
2020-01-20,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2020-10-23,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2023-11-29,Tengo miedo de que pierda el control.,ansiedad
2024-12-28,Mi mente no deja de pensar en el próximo examen.,ansiedad
2022-01-13,Hoy disfruté una conversación significativa y me siento pleno.,felicidad
